satisfaction,Gender,CustomerType,Age,TypeofTravel,Class,FlightDistance,DepartureDelayinMinutes,ArrivalDelayinMinutes
dissatisfied,Male,LoyalCustomer,61,Businesstravel,Eco,1517,28,53
dissatisfied,Male,LoyalCustomer,55,Businesstravel,Eco,2311,50,53
dissatisfied,Female,LoyalCustomer,22,Businesstravel,Business,2427,0,53
satisfied,Male,LoyalCustomer,49,Businesstravel,Business,1733,54,53
dissatisfied,Female,LoyalCustomer,56,Businesstravel,Eco,201,41,53
dissatisfied,Female,LoyalCustomer,31,Businesstravel,Business,1808,54,53
dissatisfied,Female,LoyalCustomer,48,Businesstravel,Business,2995,13,53
dissatisfied,Female,LoyalCustomer,38,Businesstravel,Business,798,51,53
satisfied,Male,LoyalCustomer,45,Businesstravel,Business,650,40,53
dissatisfied,Female,LoyalCustomer,24,Businesstravel,Business,1770,37,53
dissatisfied,Female,LoyalCustomer,27,Businesstravel,Business,1603,13,53
dissatisfied,Male,LoyalCustomer,38,Businesstravel,EcoPlus,1314,56,53
dissatisfied,Male,LoyalCustomer,45,Businesstravel,Eco,1454,67,53
dissatisfied,Female,LoyalCustomer,39,Businesstravel,Business,3239,69,53
dissatisfied,Female,LoyalCustomer,18,Businesstravel,Business,1587,58,53
dissatisfied,Male,LoyalCustomer,17,Businesstravel,EcoPlus,2529,26,53
dissatisfied,Female,LoyalCustomer,26,Businesstravel,EcoPlus,3194,31,53
dissatisfied,Male,LoyalCustomer,54,Businesstravel,Business,3000,66,53
dissatisfied,Female,LoyalCustomer,22,Businesstravel,Business,3257,22,53
dissatisfied,Female,LoyalCustomer,38,Businesstravel,Eco,1580,66,53
dissatisfied,Male,LoyalCustomer,42,Businesstravel,Business,2626,54,53
dissatisfied,Male,LoyalCustomer,60,Businesstravel,Business,2095,68,53
dissatisfied,Male,LoyalCustomer,27,Businesstravel,Business,1762,63,53
dissatisfied,Female,LoyalCustomer,25,Businesstravel,Business,3820,16,53
dissatisfied,Male,LoyalCustomer,43,Businesstravel,Eco,2137,54,53
dissatisfied,Female,LoyalCustomer,32,Businesstravel,EcoPlus,2664,72,53
dissatisfied,Male,LoyalCustomer,56,Businesstravel,Eco,1533,57,53
satisfied,Male,LoyalCustomer,22,Businesstravel,Business,2464,70,53
dissatisfied,Female,LoyalCustomer,23,Businesstravel,Business,2629,75,53
dissatisfied,Female,LoyalCustomer,50,Businesstravel,Eco,2142,57,53
satisfied,Female,LoyalCustomer,48,Businesstravel,Business,2543,52,53
satisfied,Male,LoyalCustomer,21,Businesstravel,Business,1401,57,53
dissatisfied,Male,LoyalCustomer,39,Businesstravel,Eco,1547,59,53
dissatisfied,Male,LoyalCustomer,32,Businesstravel,Eco,2111,65,53
dissatisfied,Female,LoyalCustomer,57,Businesstravel,Business,299,52,53
dissatisfied,Male,LoyalCustomer,50,Businesstravel,Business,3620,58,53
dissatisfied,Female,LoyalCustomer,9,Businesstravel,EcoPlus,2278,60,53
satisfied,Female,LoyalCustomer,40,Businesstravel,Business,2667,64,53
dissatisfied,Female,LoyalCustomer,52,Businesstravel,Business,90,40,53
satisfied,Male,LoyalCustomer,22,Businesstravel,Business,1259,50,53
satisfied,Female,LoyalCustomer,55,Businesstravel,Business,3963,60,53
satisfied,Male,LoyalCustomer,43,Businesstravel,Business,107,43,53
dissatisfied,Male,LoyalCustomer,19,Businesstravel,Eco,2682,65,53
satisfied,Male,LoyalCustomer,53,Businesstravel,Business,2099,66,53
satisfied,Female,LoyalCustomer,55,Businesstravel,Eco,262,61,53
satisfied,Female,LoyalCustomer,51,Businesstravel,Business,3993,47,53
satisfied,Female,LoyalCustomer,57,Businesstravel,Business,3550,20,53
satisfied,Female,LoyalCustomer,42,Businesstravel,Eco,1013,56,53
satisfied,Male,LoyalCustomer,44,Businesstravel,Business,427,74,53
satisfied,Female,LoyalCustomer,46,Businesstravel,Business,2417,61,53
satisfied,Female,LoyalCustomer,43,Businesstravel,Business,3147,60,53
satisfied,Female,LoyalCustomer,38,Businesstravel,Business,294,56,53
satisfied,Male,LoyalCustomer,29,Businesstravel,Business,3913,9,53
satisfied,Female,LoyalCustomer,43,Businesstravel,Business,2264,23,53
satisfied,Male,LoyalCustomer,40,Businesstravel,Business,3359,63,53
satisfied,Female,LoyalCustomer,59,Businesstravel,Business,2506,64,53
satisfied,Male,LoyalCustomer,50,Businesstravel,Business,3839,36,53
dissatisfied,Female,LoyalCustomer,72,Businesstravel,Business,952,0,53
satisfied,Female,LoyalCustomer,23,Businesstravel,Business,4236,50,53
satisfied,Female,LoyalCustomer,31,Businesstravel,Business,4629,45,53
satisfied,Female,LoyalCustomer,45,Businesstravel,Business,500,60,53
satisfied,Female,LoyalCustomer,40,Businesstravel,Business,3524,53,53
satisfied,Male,LoyalCustomer,58,Businesstravel,Eco,1118,54,53
satisfied,Male,LoyalCustomer,56,Businesstravel,Eco,1906,67,53
satisfied,Female,LoyalCustomer,54,Businesstravel,Business,1559,39,53
satisfied,Female,LoyalCustomer,43,Businesstravel,Business,2469,0,53
satisfied,Male,LoyalCustomer,42,Businesstravel,Eco,1948,37,53
satisfied,Female,LoyalCustomer,34,Businesstravel,Business,2607,57,53
satisfied,Male,LoyalCustomer,57,Businesstravel,Business,2662,0,53
dissatisfied,Female,LoyalCustomer,60,Businesstravel,Eco,340,54,53
satisfied,Male,LoyalCustomer,54,Businesstravel,Business,1718,36,53
satisfied,Female,LoyalCustomer,46,Businesstravel,Business,1055,27,53
dissatisfied,Female,LoyalCustomer,56,Businesstravel,Business,1081,52,53
satisfied,Male,LoyalCustomer,44,Businesstravel,Business,915,39,53
satisfied,Male,LoyalCustomer,44,Businesstravel,EcoPlus,1824,32,53
dissatisfied,Female,LoyalCustomer,43,Businesstravel,Eco,3497,24,53
satisfied,Female,LoyalCustomer,39,Businesstravel,EcoPlus,1801,50,53
satisfied,Male,LoyalCustomer,45,Businesstravel,Business,333,64,53
satisfied,Female,LoyalCustomer,60,Businesstravel,Business,276,47,53
dissatisfied,Male,LoyalCustomer,41,Businesstravel,Business,2093,69,53
satisfied,Male,LoyalCustomer,57,Businesstravel,Business,3323,13,53
satisfied,Female,LoyalCustomer,38,Businesstravel,Business,2481,29,53
satisfied,Female,LoyalCustomer,40,Businesstravel,Business,1618,66,53
satisfied,Male,LoyalCustomer,54,Businesstravel,Business,2918,0,53
satisfied,Male,LoyalCustomer,55,Businesstravel,Business,3003,70,53
satisfied,Female,LoyalCustomer,41,Businesstravel,Business,466,49,53
satisfied,Male,LoyalCustomer,35,Businesstravel,Business,2552,51,53
satisfied,Male,LoyalCustomer,53,Businesstravel,Business,2421,64,53
satisfied,Male,LoyalCustomer,56,Businesstravel,Business,1579,37,53
dissatisfied,Female,LoyalCustomer,48,Businesstravel,EcoPlus,227,51,53
dissatisfied,Male,LoyalCustomer,32,Businesstravel,Business,1771,72,53
dissatisfied,Female,LoyalCustomer,51,Businesstravel,Business,1623,61,53
satisfied,Male,LoyalCustomer,41,Businesstravel,Business,2065,68,53
satisfied,Male,LoyalCustomer,44,Businesstravel,Business,719,39,53
satisfied,Female,LoyalCustomer,47,Businesstravel,Business,241,65,53
satisfied,Female,LoyalCustomer,24,Businesstravel,Eco,2012,56,53
satisfied,Female,LoyalCustomer,32,Businesstravel,Business,1956,61,53
satisfied,Female,LoyalCustomer,53,Businesstravel,Business,3336,44,53
satisfied,Male,LoyalCustomer,56,Businesstravel,Business,699,58,53
satisfied,Male,LoyalCustomer,29,Businesstravel,EcoPlus,2111,42,53
satisfied,Female,LoyalCustomer,57,Businesstravel,Business,1959,59,53
satisfied,Female,LoyalCustomer,53,Businesstravel,Eco,344,24,53
satisfied,Female,LoyalCustomer,53,Businesstravel,Business,3147,61,53
satisfied,Female,LoyalCustomer,50,Businesstravel,Eco,213,62,53
satisfied,Male,LoyalCustomer,44,Businesstravel,Eco,1438,79,53
satisfied,Female,LoyalCustomer,46,Businesstravel,Business,3466,58,53
satisfied,Female,LoyalCustomer,54,Businesstravel,Business,3671,48,53
satisfied,Female,LoyalCustomer,29,Businesstravel,Business,2568,50,53
satisfied,Male,LoyalCustomer,51,Businesstravel,Eco,2103,48,53
satisfied,Male,LoyalCustomer,48,Businesstravel,Business,612,61,53
satisfied,Female,LoyalCustomer,41,Businesstravel,Business,1901,31,53
satisfied,Female,LoyalCustomer,47,Businesstravel,Business,3604,27,53
satisfied,Male,LoyalCustomer,38,Businesstravel,EcoPlus,2409,44,53
satisfied,Female,LoyalCustomer,50,Businesstravel,Business,332,66,53
satisfied,Female,LoyalCustomer,52,Businesstravel,Business,260,41,53
satisfied,Male,LoyalCustomer,46,Businesstravel,Business,1812,56,53
satisfied,Female,LoyalCustomer,39,Businesstravel,Business,1637,74,53
satisfied,Female,LoyalCustomer,54,Businesstravel,Business,590,26,53
satisfied,Male,LoyalCustomer,54,Businesstravel,Business,1379,46,53
satisfied,Male,LoyalCustomer,57,Businesstravel,Business,3952,55,53
dissatisfied,Male,disloyalCustomer,58,PersonalTravel,Eco,1148,2,53
satisfied,Female,LoyalCustomer,30,PersonalTravel,Eco,2479,61,52
satisfied,Female,LoyalCustomer,12,PersonalTravel,Eco,2454,71,52
satisfied,Female,LoyalCustomer,66,PersonalTravel,Eco,888,44,52
dissatisfied,Male,LoyalCustomer,33,PersonalTravel,Eco,1864,62,52
dissatisfied,Male,LoyalCustomer,42,PersonalTravel,Eco,1638,66,52
satisfied,Female,LoyalCustomer,50,PersonalTravel,Eco,974,70,52
dissatisfied,Male,LoyalCustomer,37,PersonalTravel,Eco,2121,69,52
dissatisfied,Male,LoyalCustomer,28,PersonalTravel,Eco,1982,36,52
satisfied,Female,LoyalCustomer,24,PersonalTravel,Eco,1725,47,52
satisfied,Female,LoyalCustomer,39,PersonalTravel,EcoPlus,2276,62,52
dissatisfied,Male,LoyalCustomer,40,PersonalTravel,Eco,2174,6,52
dissatisfied,Male,LoyalCustomer,21,PersonalTravel,EcoPlus,2193,48,52
dissatisfied,Male,LoyalCustomer,47,PersonalTravel,Business,592,73,52
satisfied,Female,LoyalCustomer,41,PersonalTravel,Eco,2224,49,52
satisfied,Female,LoyalCustomer,30,PersonalTravel,Eco,1449,50,52
satisfied,Female,LoyalCustomer,19,PersonalTravel,Eco,3270,71,52
satisfied,Female,LoyalCustomer,31,PersonalTravel,Eco,2379,46,52
satisfied,Female,LoyalCustomer,46,PersonalTravel,Eco,571,25,52
satisfied,Female,LoyalCustomer,42,PersonalTravel,EcoPlus,757,60,52
satisfied,Female,LoyalCustomer,24,PersonalTravel,Eco,1449,5,52
dissatisfied,Male,LoyalCustomer,36,PersonalTravel,Eco,2136,57,52
satisfied,Female,LoyalCustomer,49,PersonalTravel,Eco,2316,0,52
satisfied,Female,LoyalCustomer,22,PersonalTravel,Eco,1839,38,52
satisfied,Female,LoyalCustomer,18,PersonalTravel,Eco,2768,0,52
satisfied,Female,LoyalCustomer,16,PersonalTravel,Eco,1827,40,52
satisfied,Female,LoyalCustomer,67,PersonalTravel,Business,959,47,52
satisfied,Female,LoyalCustomer,40,PersonalTravel,Eco,1165,46,52
satisfied,Female,LoyalCustomer,18,PersonalTravel,Eco,1887,24,52
dissatisfied,Male,LoyalCustomer,54,PersonalTravel,EcoPlus,2349,38,52
satisfied,Female,LoyalCustomer,13,PersonalTravel,Eco,1796,52,52
satisfied,Female,LoyalCustomer,62,PersonalTravel,Eco,86,61,52
dissatisfied,Male,LoyalCustomer,21,PersonalTravel,Eco,2212,63,52
satisfied,Female,LoyalCustomer,50,PersonalTravel,Eco,981,50,52
dissatisfied,Male,LoyalCustomer,43,PersonalTravel,EcoPlus,1816,58,52
dissatisfied,Male,LoyalCustomer,8,PersonalTravel,Eco,2215,25,52
satisfied,Female,LoyalCustomer,39,PersonalTravel,Eco,3307,6,52
satisfied,Female,LoyalCustomer,56,PersonalTravel,Eco,284,57,52
satisfied,Female,LoyalCustomer,8,PersonalTravel,Eco,1346,43,52
satisfied,Female,LoyalCustomer,15,PersonalTravel,Eco,2587,0,52
dissatisfied,Male,LoyalCustomer,46,PersonalTravel,Eco,1961,68,52
dissatisfied,Male,LoyalCustomer,32,PersonalTravel,Eco,1497,54,52
dissatisfied,Male,LoyalCustomer,30,PersonalTravel,Eco,2166,38,52
dissatisfied,Male,LoyalCustomer,33,PersonalTravel,EcoPlus,1910,59,52
dissatisfied,Male,LoyalCustomer,62,PersonalTravel,EcoPlus,1859,60,52
dissatisfied,Male,LoyalCustomer,57,PersonalTravel,EcoPlus,1451,64,52
dissatisfied,Male,LoyalCustomer,67,PersonalTravel,Eco,3218,44,52
dissatisfied,Male,LoyalCustomer,28,PersonalTravel,EcoPlus,2193,32,52
dissatisfied,Female,LoyalCustomer,51,PersonalTravel,EcoPlus,1019,61,52
dissatisfied,Female,LoyalCustomer,24,PersonalTravel,Eco,2359,37,52
dissatisfied,Male,LoyalCustomer,31,PersonalTravel,Eco,1630,50,52
dissatisfied,Female,LoyalCustomer,59,PersonalTravel,EcoPlus,397,59,52
dissatisfied,Female,LoyalCustomer,68,PersonalTravel,Eco,2645,63,52
dissatisfied,Female,LoyalCustomer,32,PersonalTravel,Eco,4111,39,52
dissatisfied,Female,LoyalCustomer,29,PersonalTravel,Eco,1782,59,52
dissatisfied,Male,LoyalCustomer,63,PersonalTravel,Eco,1370,46,52
dissatisfied,Male,LoyalCustomer,7,PersonalTravel,Eco,1893,9,52
dissatisfied,Female,LoyalCustomer,22,PersonalTravel,Eco,2429,55,52
dissatisfied,Male,LoyalCustomer,22,PersonalTravel,Eco,2389,20,52
dissatisfied,Female,LoyalCustomer,28,PersonalTravel,Eco,2512,49,52
dissatisfied,Male,LoyalCustomer,9,PersonalTravel,Eco,2064,47,52
satisfied,Female,LoyalCustomer,9,PersonalTravel,Eco,3102,56,52
dissatisfied,Female,LoyalCustomer,34,PersonalTravel,Eco,1961,58,52
dissatisfied,Male,LoyalCustomer,25,PersonalTravel,Eco,1324,65,52
dissatisfied,Female,LoyalCustomer,14,PersonalTravel,Eco,2117,55,52
satisfied,Male,LoyalCustomer,68,PersonalTravel,Eco,3756,20,52
satisfied,Male,disloyalCustomer,23,Businesstravel,Eco,2665,46,52
satisfied,Female,disloyalCustomer,24,Businesstravel,Eco,2079,53,52
dissatisfied,Female,disloyalCustomer,22,Businesstravel,Eco,2338,47,52
dissatisfied,Male,disloyalCustomer,17,Businesstravel,Eco,2167,57,52
dissatisfied,Female,disloyalCustomer,25,Businesstravel,Eco,1828,61,52
dissatisfied,Male,disloyalCustomer,24,Businesstravel,Eco,2103,60,52
dissatisfied,Female,disloyalCustomer,38,Businesstravel,Eco,1446,60,52
dissatisfied,Female,disloyalCustomer,22,Businesstravel,Eco,1424,60,52
dissatisfied,Female,disloyalCustomer,23,Businesstravel,Business,2101,71,52
dissatisfied,Female,disloyalCustomer,42,Businesstravel,Business,1941,62,52
dissatisfied,Male,disloyalCustomer,26,Businesstravel,Eco,3309,69,52
dissatisfied,Male,disloyalCustomer,46,Businesstravel,Eco,2396,35,52
dissatisfied,Female,disloyalCustomer,38,Businesstravel,EcoPlus,1920,69,52
dissatisfied,Female,disloyalCustomer,26,Businesstravel,Eco,1911,63,52
dissatisfied,Male,disloyalCustomer,28,Businesstravel,Eco,2129,53,52
dissatisfied,Female,disloyalCustomer,22,Businesstravel,Eco,2642,60,52
dissatisfied,Male,disloyalCustomer,26,Businesstravel,Business,2002,53,52
dissatisfied,Male,disloyalCustomer,20,Businesstravel,Eco,1836,63,52
dissatisfied,Female,disloyalCustomer,24,Businesstravel,Eco,829,57,52
dissatisfied,Male,disloyalCustomer,25,Businesstravel,Eco,1699,55,52
dissatisfied,Female,disloyalCustomer,27,Businesstravel,Eco,1203,31,52
dissatisfied,Female,disloyalCustomer,25,Businesstravel,Business,2704,61,52
dissatisfied,Female,disloyalCustomer,20,Businesstravel,Eco,1101,40,52
dissatisfied,Female,disloyalCustomer,59,Businesstravel,Eco,1798,59,52
dissatisfied,Male,disloyalCustomer,22,Businesstravel,Eco,1779,50,52
dissatisfied,Female,disloyalCustomer,22,Businesstravel,Eco,1766,59,52
dissatisfied,Female,disloyalCustomer,25,Businesstravel,Eco,2605,32,52
dissatisfied,Male,disloyalCustomer,45,Businesstravel,Eco,2288,64,52
dissatisfied,Female,disloyalCustomer,25,Businesstravel,Eco,1597,48,52
satisfied,Female,disloyalCustomer,42,Businesstravel,Business,1737,47,52
dissatisfied,Female,disloyalCustomer,36,Businesstravel,Business,2049,56,52
dissatisfied,Male,disloyalCustomer,33,Businesstravel,Eco,2733,71,52
dissatisfied,Male,disloyalCustomer,46,Businesstravel,Eco,2674,38,52
dissatisfied,Female,disloyalCustomer,27,Businesstravel,Business,1624,57,52
dissatisfied,Male,disloyalCustomer,29,Businesstravel,Eco,1675,56,52
dissatisfied,Male,disloyalCustomer,59,Businesstravel,Eco,1389,54,52
dissatisfied,Female,disloyalCustomer,39,Businesstravel,Business,2112,54,52
satisfied,Male,disloyalCustomer,23,Businesstravel,Eco,1553,58,52
dissatisfied,Female,disloyalCustomer,23,Businesstravel,Business,1796,63,52
dissatisfied,Male,disloyalCustomer,24,Businesstravel,Eco,1965,54,52
dissatisfied,Male,disloyalCustomer,22,Businesstravel,Eco,1726,61,52
dissatisfied,Male,disloyalCustomer,35,Businesstravel,Eco,2064,64,52
satisfied,Female,disloyalCustomer,25,Businesstravel,Eco,2327,45,52
satisfied,Female,disloyalCustomer,18,Businesstravel,Eco,2070,39,52
satisfied,Female,disloyalCustomer,26,Businesstravel,Business,2722,50,52
satisfied,Female,LoyalCustomer,50,Businesstravel,Business,376,22,52
satisfied,Female,LoyalCustomer,39,Businesstravel,Business,3021,52,52
satisfied,Male,LoyalCustomer,54,Businesstravel,Business,2643,57,52
satisfied,Female,LoyalCustomer,39,Businesstravel,Business,2083,55,52
dissatisfied,Male,LoyalCustomer,18,Businesstravel,Business,4855,53,52
dissatisfied,Female,LoyalCustomer,32,Businesstravel,Business,3378,58,52
dissatisfied,Male,LoyalCustomer,34,Businesstravel,Business,727,50,52
dissatisfied,Female,LoyalCustomer,55,Businesstravel,Business,3326,68,52
dissatisfied,Female,LoyalCustomer,40,Businesstravel,Eco,4177,30,52
dissatisfied,Male,LoyalCustomer,40,Businesstravel,EcoPlus,1533,56,52
dissatisfied,Female,LoyalCustomer,47,Businesstravel,Business,415,57,52
dissatisfied,Male,LoyalCustomer,40,Businesstravel,Business,3257,12,52
dissatisfied,Male,LoyalCustomer,33,Businesstravel,Business,1969,11,52
dissatisfied,Male,LoyalCustomer,26,Businesstravel,Business,1270,44,52
dissatisfied,Male,LoyalCustomer,25,Businesstravel,Business,1645,17,52
dissatisfied,Female,LoyalCustomer,12,Businesstravel,EcoPlus,2854,32,52
dissatisfied,Female,LoyalCustomer,77,Businesstravel,EcoPlus,82,57,52
dissatisfied,Female,LoyalCustomer,57,Businesstravel,Business,1190,45,52
dissatisfied,Female,LoyalCustomer,42,Businesstravel,Business,240,64,52
dissatisfied,Female,LoyalCustomer,25,Businesstravel,EcoPlus,1965,82,52
dissatisfied,Male,LoyalCustomer,47,Businesstravel,Eco,2730,51,52
dissatisfied,Male,LoyalCustomer,58,Businesstravel,Business,596,59,52
dissatisfied,Male,LoyalCustomer,36,Businesstravel,Business,115,55,52
satisfied,Female,LoyalCustomer,49,Businesstravel,Business,1663,60,52
satisfied,Male,LoyalCustomer,42,Businesstravel,Business,619,54,52
satisfied,Male,LoyalCustomer,51,Businesstravel,Eco,1353,57,52
dissatisfied,Male,LoyalCustomer,45,Businesstravel,Business,3710,63,52
dissatisfied,Male,LoyalCustomer,57,Businesstravel,Business,2289,5,52
dissatisfied,Male,LoyalCustomer,78,Businesstravel,Eco,1826,66,52
dissatisfied,Female,LoyalCustomer,29,Businesstravel,Business,2687,69,52
dissatisfied,Female,LoyalCustomer,56,Businesstravel,Eco,354,64,52
dissatisfied,Male,LoyalCustomer,52,Businesstravel,Business,833,61,52
satisfied,Male,LoyalCustomer,50,Businesstravel,Business,3495,0,52
dissatisfied,Female,LoyalCustomer,35,Businesstravel,Business,804,33,52
dissatisfied,Female,LoyalCustomer,15,Businesstravel,Business,3884,53,52
dissatisfied,Female,LoyalCustomer,62,Businesstravel,Business,2711,57,52
dissatisfied,Female,LoyalCustomer,36,Businesstravel,Business,1768,59,52
dissatisfied,Male,LoyalCustomer,33,Businesstravel,Eco,2385,20,52
dissatisfied,Female,LoyalCustomer,11,Businesstravel,Business,3584,50,52
dissatisfied,Female,LoyalCustomer,56,Businesstravel,Business,1116,57,52
dissatisfied,Male,LoyalCustomer,50,Businesstravel,Business,674,15,52
dissatisfied,Male,LoyalCustomer,39,Businesstravel,Business,435,53,52
dissatisfied,Male,LoyalCustomer,61,Businesstravel,Business,1887,32,52
satisfied,Female,LoyalCustomer,46,Businesstravel,Eco,447,56,52
dissatisfied,Female,LoyalCustomer,47,Businesstravel,Business,2882,37,52
dissatisfied,Male,LoyalCustomer,44,Businesstravel,Eco,4300,80,52
satisfied,Male,LoyalCustomer,39,Businesstravel,EcoPlus,1989,39,52
dissatisfied,Male,LoyalCustomer,47,Businesstravel,Business,207,21,52
satisfied,Male,LoyalCustomer,51,Businesstravel,Business,2212,66,52
dissatisfied,Female,LoyalCustomer,56,Businesstravel,Eco,934,33,52
dissatisfied,Male,LoyalCustomer,58,Businesstravel,Business,2069,51,52
dissatisfied,Male,LoyalCustomer,22,Businesstravel,Business,1951,12,52
satisfied,Male,LoyalCustomer,59,Businesstravel,Business,2450,42,52
dissatisfied,Female,LoyalCustomer,35,Businesstravel,Eco,1703,47,52
dissatisfied,Male,LoyalCustomer,18,Businesstravel,Business,3356,41,52
dissatisfied,Male,LoyalCustomer,53,Businesstravel,Eco,2390,84,52
dissatisfied,Female,LoyalCustomer,52,Businesstravel,EcoPlus,352,37,52
dissatisfied,Female,LoyalCustomer,19,Businesstravel,Business,5282,46,52
dissatisfied,Female,LoyalCustomer,51,Businesstravel,Business,768,59,52
dissatisfied,Female,LoyalCustomer,42,Businesstravel,Eco,349,41,52
dissatisfied,Female,LoyalCustomer,62,Businesstravel,Business,479,45,52
dissatisfied,Female,LoyalCustomer,37,Businesstravel,Eco,4444,52,52
dissatisfied,Female,LoyalCustomer,48,Businesstravel,Business,274,46,52
satisfied,Female,LoyalCustomer,60,Businesstravel,Eco,580,72,52
dissatisfied,Male,LoyalCustomer,25,Businesstravel,Business,5053,10,52
dissatisfied,Male,LoyalCustomer,25,Businesstravel,Business,2729,0,52
dissatisfied,Female,LoyalCustomer,66,Businesstravel,Business,3663,28,52
dissatisfied,Male,LoyalCustomer,34,Businesstravel,Business,3278,57,52
dissatisfied,Female,LoyalCustomer,24,Businesstravel,Business,1976,11,52
dissatisfied,Female,LoyalCustomer,37,Businesstravel,EcoPlus,1913,52,52
dissatisfied,Male,LoyalCustomer,23,Businesstravel,Business,4345,59,52
dissatisfied,Male,LoyalCustomer,9,Businesstravel,Eco,2345,54,52
dissatisfied,Male,LoyalCustomer,45,Businesstravel,Eco,3423,43,52
dissatisfied,Female,LoyalCustomer,57,Businesstravel,Business,282,41,52
dissatisfied,Male,LoyalCustomer,9,Businesstravel,Eco,2563,46,52
satisfied,Male,LoyalCustomer,33,Businesstravel,Business,1410,53,52
satisfied,Male,LoyalCustomer,57,Businesstravel,Business,61,49,52
satisfied,Female,LoyalCustomer,41,Businesstravel,Business,3597,13,52
satisfied,Female,LoyalCustomer,48,Businesstravel,Business,4018,54,52
satisfied,Male,LoyalCustomer,17,Businesstravel,Business,2785,43,52
satisfied,Male,LoyalCustomer,44,Businesstravel,Business,3369,35,52
satisfied,Male,LoyalCustomer,45,Businesstravel,Eco,2603,67,52
dissatisfied,Female,LoyalCustomer,27,Businesstravel,Business,3968,16,52
satisfied,Male,LoyalCustomer,59,Businesstravel,Business,2246,67,52
satisfied,Female,LoyalCustomer,50,Businesstravel,Business,3860,62,52
satisfied,Male,LoyalCustomer,36,Businesstravel,Eco,1815,56,52
satisfied,Female,LoyalCustomer,46,Businesstravel,Business,3770,31,52
satisfied,Male,LoyalCustomer,55,Businesstravel,Business,2357,51,52
satisfied,Male,LoyalCustomer,59,Businesstravel,Business,1961,84,52
satisfied,Female,LoyalCustomer,29,Businesstravel,Business,5046,65,52
satisfied,Female,LoyalCustomer,43,Businesstravel,Business,1678,60,52
dissatisfied,Female,LoyalCustomer,49,Businesstravel,Eco,606,35,52
satisfied,Female,LoyalCustomer,51,Businesstravel,Business,695,0,52
satisfied,Female,LoyalCustomer,51,Businesstravel,Business,630,30,52
satisfied,Female,LoyalCustomer,41,Businesstravel,Business,445,38,52
satisfied,Female,LoyalCustomer,59,Businesstravel,Business,3310,60,52
dissatisfied,Male,LoyalCustomer,30,Businesstravel,EcoPlus,2321,48,52
satisfied,Female,LoyalCustomer,50,Businesstravel,Business,4005,59,52
satisfied,Female,LoyalCustomer,64,Businesstravel,Eco,95,33,52
satisfied,Female,LoyalCustomer,21,Businesstravel,Business,4431,52,52
satisfied,Male,LoyalCustomer,47,Businesstravel,Business,3799,50,52
satisfied,Female,LoyalCustomer,52,Businesstravel,Business,4030,62,52
satisfied,Female,LoyalCustomer,48,Businesstravel,Business,2863,60,52
satisfied,Female,LoyalCustomer,42,Businesstravel,Business,1728,58,52
satisfied,Female,LoyalCustomer,22,Businesstravel,Eco,1645,72,52
satisfied,Female,LoyalCustomer,53,Businesstravel,Business,2407,33,52
satisfied,Male,LoyalCustomer,57,Businesstravel,Business,1995,59,52
satisfied,Male,LoyalCustomer,54,Businesstravel,Business,2312,53,52
satisfied,Male,LoyalCustomer,50,Businesstravel,Business,1285,25,52
satisfied,Male,LoyalCustomer,57,Businesstravel,Eco,1538,53,52
satisfied,Male,LoyalCustomer,43,Businesstravel,Business,1792,59,52
satisfied,Male,LoyalCustomer,53,Businesstravel,Business,3658,61,52
satisfied,Male,LoyalCustomer,44,Businesstravel,Business,2183,57,52
satisfied,Female,LoyalCustomer,48,Businesstravel,Business,1834,36,52
satisfied,Male,LoyalCustomer,35,Businesstravel,Business,288,61,52
satisfied,Male,LoyalCustomer,60,Businesstravel,Business,3806,39,52
satisfied,Male,LoyalCustomer,47,Businesstravel,Business,2232,56,52
satisfied,Male,LoyalCustomer,50,Businesstravel,Eco,1898,8,52
satisfied,Female,LoyalCustomer,58,Businesstravel,Business,1772,84,52
satisfied,Male,LoyalCustomer,43,Businesstravel,Business,491,61,52
satisfied,Male,LoyalCustomer,47,Businesstravel,Business,419,69,52
satisfied,Female,LoyalCustomer,48,Businesstravel,Business,321,0,52
satisfied,Female,LoyalCustomer,56,Businesstravel,Eco,216,58,52
satisfied,Female,LoyalCustomer,56,Businesstravel,Business,2252,58,52
satisfied,Female,LoyalCustomer,25,Businesstravel,Business,2748,30,52
satisfied,Female,LoyalCustomer,28,Businesstravel,Business,2373,13,52
satisfied,Male,LoyalCustomer,52,Businesstravel,Business,3185,66,52
satisfied,Female,LoyalCustomer,48,Businesstravel,Business,515,51,52
satisfied,Male,LoyalCustomer,44,Businesstravel,Business,1547,53,52
satisfied,Female,LoyalCustomer,33,Businesstravel,Eco,1984,38,52
satisfied,Male,LoyalCustomer,59,Businesstravel,Business,953,5,52
satisfied,Male,LoyalCustomer,55,Businesstravel,Business,1625,72,52
satisfied,Male,LoyalCustomer,38,Businesstravel,Business,3195,41,52
satisfied,Male,LoyalCustomer,46,Businesstravel,Eco,2029,53,52
satisfied,Male,LoyalCustomer,27,Businesstravel,Business,3807,44,52
satisfied,Male,LoyalCustomer,42,Businesstravel,Business,2095,52,52
satisfied,Female,LoyalCustomer,40,Businesstravel,Business,466,55,52
satisfied,Male,LoyalCustomer,40,Businesstravel,Business,3779,0,52
satisfied,Female,LoyalCustomer,56,Businesstravel,Business,3069,65,52
